Category,Title,Products
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2840632),"Windows 8, Windows Server 2012"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2861702),"Windows 8, Windows Server 2012"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2898865),"Windows 8, Windows Server 2012"
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 x86 (KB2742614),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows 8 x86 (KB2861702),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5 on Windows Vista and Windows Server 2008 x86 (KB2861193),"Windows Server 2008, Windows Vista"
Superseded,Security Update for Microsoft .NET Framework 4.5.1 on Windows 8 (KB2898870),Windows 8
Superseded,Security Update for Microsoft .NET Framework 4.5.1 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2898870),"Windows 8, Windows Server 2012"
Superseded,"Security Update for Microsoft .NET Framework, Version 2.0 (KB929916)",Windows Vista
Superseded,Security Update for Microsoft Visual C++ 2010 Redistributable Package (KB2467173),Visual Studio 2010
Superseded,Security Update for Microsoft Visual Studio 2005 (KB925674),Visual Studio 2005
Superseded,Security Update for Microsoft Visual Studio 2005 (KB937060),Visual Studio 2005
Superseded,Security Update for Microsoft Visual Studio 2008 (KB971091),Visual Studio 2008
Superseded,Security Update for Microsoft Visual Studio 2008 (KB972221),Visual Studio 2008
Superseded,Security Update for Microsoft Visual Studio 2008 ATL for Smart Devices (KB973674),Visual Studio 2008
Superseded,Security Update for Microsoft Visual Studio 2010 (KB2542054),Visual Studio 2010
Superseded,Security Update for Microsoft Visual Studio 2010 (KB2644980),Visual Studio 2010
Language Packs,Security Update for Office XP Multilingual User Interface Pack (KB905649),Office 2002/XP
Superseded,Security Update for Report Viewer Redistributable 2008 (KB971118),Report Viewer 2008
Superseded,Security Update for SQL Server 2008 R2 (KB2494086),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 R2 (KB2494088),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 R2 Service Pack 1 (KB2716439),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 R2 Service Pack 1 (KB2716440),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 R2 Service Pack 2 (KB3045312),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 R2 Service Pack 2 (KB3045313),SQL Server 2008 R2
Superseded,Security Update for SQL Server 2008 Service Pack 2 (KB2716433),SQL Server 2008
Superseded,Security Update for SQL Server 2008 Service Pack 2 (KB2716434),SQL Server 2008
Superseded,Security Update for SQL Server 2008 Service Pack 3 (KB3045303),SQL Server 2008
Superseded,Security Update for SQL Server 2008 Service Pack 3 (KB3045305),SQL Server 2008
Superseded,Security Update for SQL Server 2012 RTM (KB2716441),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 RTM (KB2716442),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 1 (KB3045317),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 1 (KB3045318),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 2 (KB3045319),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 2 (KB3045321),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 2 GDR (KB3194719),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 3 CU (KB4057121),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2012 Service Pack 3 GDR (KB4057115),Microsoft SQL Server 2012
Superseded,Security Update for SQL Server 2014 (KB3045323),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 (KB3045324),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 Service Pack 1 (KB3070446),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 Service Pack 1 CU (KB3194722),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 Service Pack 1 CU (KB4032542),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 Service Pack 1 GDR (KB3194720),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2014 Service Pack 1 GDR (KB4019091),Microsoft SQL Server 2014
Superseded,Security Update for SQL Server 2016 RTM CU (KB4058559),Microsoft SQL Server 2016
Superseded,Security Update for SQL Server 2016 RTM GDR (KB4058560),Microsoft SQL Server 2016
Superseded,Security Update for SQL Server 2016 Service Pack 1 GDR (KB4458842),Microsoft SQL Server 2016
Superseded,Security Update for SQL Server 2016 SP1 CU (KB4293808),Microsoft SQL Server 2016
Superseded,Security Update for Windows 2000 (329834),Windows 2000
Superseded,Security Update for Windows 2000 (819696),Windows 2000
Superseded,Security Update for Windows 8.1 (KB2961858) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2961899) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2961908) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2965161) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2973408) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2973906) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 (KB2975625) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2961858) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2961899) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2961908) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2965161) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2973408) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2973906) without KB2919355,Windows 8.1
Superseded,Security Update for Windows 8.1 for x64-based Systems (KB2975625) without KB2919355,Windows 8.1
Superseded,"Security Update for Windows Media Format Runtime 9, 9.5 & 11 for Windows XP SP 2 (KB954155)",Windows XP
Superseded,"Security Update for Windows Media Format Runtime 9, 9.5 & 11 for Windows XP SP2 (KB978695)",Windows XP
Superseded,Security Update for Windows Media Player 9 for Windows XP SP2 (KB979402),Windows XP
Superseded,Security Update for Windows Media Services (KB832359),Windows 2000
Superseded,Security Update for Windows Messenger (KB887472),Windows XP
Superseded,Security Update for Windows Server 2012 R2 (KB2961858) without KB2919355,Windows Server 2012 R2
